Unix_Timestamp,Action_Label,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1776200364.580426,Rest,-4,-2,0,-4,-1,0,-1,-3,0.6865234375,-0.355224609375,-0.02764892578125,0.63385009765625,-0.408203125,-0.51416015625,0.74462890625,-0.1875,0.0,-0.0625
1776200364.580426,Rest,-2,0,-4,0,-3,-1,-1,0,0.6865234375,-0.355224609375,-0.02764892578125,0.63385009765625,-0.408203125,-0.51416015625,0.74462890625,-0.1875,0.0,-0.0625
1776200364.595608,Rest,2,-2,-2,-3,0,-3,1,2,0.6865234375,-0.355224609375,-0.02764892578125,0.63385009765625,-0.408203125,-0.51416015625,0.74462890625,-0.1875,0.0,-0.0625
1776200364.595608,Rest,-1,-1,-1,-2,-1,2,0,-1,0.6865234375,-0.355224609375,-0.02764892578125,0.63385009765625,-0.408203125,-0.51416015625,0.74462890625,-0.1875,0.0,-0.0625
1776200364.603095,Rest,2,0,-2,-4,-2,0,-4,-1,0.6865234375,-0.35516357421875,-0.02764892578125,0.63385009765625,-0.40478515625,-0.5126953125,0.74169921875,-0.125,0.0,0.1875
1776200364.603095,Rest,-1,1,7,-3,0,0,-4,0,0.6865234375,-0.35516357421875,-0.02764892578125,0.63385009765625,-0.40478515625,-0.5126953125,0.74169921875,-0.125,0.0,0.1875
1776200364.618484,Rest,0,-2,-8,1,1,-1,-1,-1,0.6865234375,-0.35516357421875,-0.02764892578125,0.63385009765625,-0.4072265625,-0.51220703125,0.73876953125,0.375,0.0,0.0
1776200364.618484,Rest,1,-1,0,-2,-1,-4,-2,0,0.6865234375,-0.35516357421875,-0.02764892578125,0.63385009765625,-0.4072265625,-0.51220703125,0.73876953125,0.375,0.0,0.0
1776200364.625235,Rest,-1,1,-4,1,-1,2,1,0,0.6865234375,-0.35516357421875,-0.02764892578125,0.63385009765625,-0.4072265625,-0.51220703125,0.73876953125,0.375,0.0,0.0
1776200364.625235,Rest,-1,1,-3,0,0,-2,0,-1,0.6865234375,-0.35516357421875,-0.02764892578125,0.63385009765625,-0.4072265625,-0.51220703125,0.73876953125,0.375,0.0,0.0
